=========== TABLE 1
| 0x0 | 0x0 | BRA B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x1 | BRN B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x2 | BHI B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x3 | BLS B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x4 | BXC B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x5 | BXS B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x6 | BNE B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x7 | BEQ B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x8 | BVC B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0x9 | BVS B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0xa | BMC B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0xb | BMS B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0xc | BGE B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0xd | BLT B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0xe | BGT B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x0 | 0xf | BLE B_PC_REL_TO_ABS U24 UNSET NON TERM
| 0x1 | 0x0 | UNSET U20 U24 UNSET NON TBL4
| 0x1 | 0x1 | UNSET U20 U24 UNSET NON TBL4
| 0x1 | 0x2 | UNSET U20 U24 UNSET NON TBL4
| 0x1 | 0x3 | UNSET U20 U24 UNSET NON TBL4
| 0x1 | 0x4 | UNSET U20 U24 UNSET NON TBL4
| 0x1 | 0x5 | UNSET U20 U24 UNSET NON TBL4
| 0x1 | 0x6 | UNSET U20 U24 UNSET NON TBL4
| 0x1 | 0x7 | UNSET U20 U24 UNSET NON TBL4
| 0x1 | 0x8 | TJSR U1D U24 UNSET NON TERM
| 0x1 | 0x9 | TJSR U1D U24 UNSET NON TERM
| 0x1 | 0xa | TJSR U1D U24 UNSET NON TERM
| 0x1 | 0xb | TJSR U1D U24 UNSET NON TERM
| 0x1 | 0xc | TJSR U1D U24 UNSET NON TERM
| 0x1 | 0xd | TJSR U1D U24 UNSET NON TERM
| 0x1 | 0xe | TJSR U1D U24 UNSET NON TERM
| 0x1 | 0xf | TJSR U1D U24 UNSET NON TERM
| 0x2 | 0x0 | UNSET R_IND_OFFS_FP U24 BYTE NON TBL2
| 0x2 | 0x1 | UNSET R_IND_OFFS_FP U24 BYTE NON TBL2
| 0x2 | 0x2 | UNSET R_IND_OFFS_FP U24 BYTE NON TBL2
| 0x2 | 0x3 | UNSET R_IND_OFFS_FP U24 BYTE NON TBL2
| 0x2 | 0x4 | UNSET R_IND_OFFS_FP U24 BYTE NON TBL2
| 0x2 | 0x5 | UNSET R_IND_OFFS_FP U24 BYTE NON TBL2
| 0x2 | 0x6 | UNSET R_IND_OFFS_FP U24 BYTE NON TBL2
| 0x2 | 0x7 | UNSET R_IND_OFFS_FP U24 BYTE NON TBL2
